no,category,subcategory,arxiv_url,title,citations,source,additional_doi
998,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2601.02905 ,LOST-3DSG: Lightweight Open-Vocabulary 3D Scene Graphs with Semantic Tracking in Dynamic Environments,0,manual,
997,Others,Not Related,http://arxiv.org/abs/2601.02792 ,Textile IR: A Bidirectional Intermediate Representation for Physics-Aware Fashion CAD,0,manual,
996,Robotics,Navigation,http://arxiv.org/abs/2601.01872 ,CausalNav: A Long-term Embodied Navigation System for Autonomous Mobile Robots in Dynamic Outdoor Scenarios,0,manual,
995,Scene Graph,Dataset/Benchmark,http://arxiv.org/abs/2601.01181 ,GenCAMO: Scene-Graph Contextual Decoupling for Environment-aware and Mask-free Camouflage Image-Dense Annotation Generation,0,manual,
994,Reasoning,VQA,http://arxiv.org/abs/2601.06097 ,Semantic Event Graphs for Long-Form Video Question Answering,0,manual,
993,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2512.24845 ,ArtiSG: Functional 3D Scene Graph Construction via Human-demonstrated Articulated Objects Manipulation,0,manual,
992,Scene Graph,Scene Graph Generation,http://arxiv.org/abs/2512.23024 ,With Great Context Comes Great Prediction Power: Classifying Objects via Geo-Semantic Scene Graphs,0,manual,
991,Others,Autonomous Driving,http://arxiv.org/abs/2512.22693 ,Instance Communication System for Intelligent Connected Vehicles: Bridging the Gap from Semantic to Instance-Level Transmission,0,manual,
990,Robotics,Task-planning,http://arxiv.org/abs/2512.21243 ,LookPlanGraph: Embodied Instruction Following Method with VLM Graph Augmentation,0,manual,
989,Others,Autonomous Driving,http://arxiv.org/abs/2512.21133 ,SparScene: Efficient Traffic Scene Representation via Sparse Graph Learning for Large-Scale Trajectory Generation,0,manual,
988,Scene Graph,Scene Graph Generation,http://arxiv.org/abs/2512.19221 ,From Pixels to Predicates Structuring urban perception with scene graphs,0,manual,
987,Reasoning,Others,http://arxiv.org/abs/2512.18613 ,Text2Graph VPR: A Text-to-Graph Expert System for Explainable Place Recognition in Changing Environments,0,manual,
986,Reasoning,Retrieval,http://arxiv.org/abs/2512.18448 ,Object-Centric Framework for Video Moment Retrieval,0,manual,
985,Reasoning,Retrieval,http://arxiv.org/abs/2512.18407 ,Through the PRISm: Importance-Aware Scene Graphs for Image Retrieval,0,manual,
984,Others,Autonomous Driving,http://arxiv.org/abs/2512.17445 ,LangDriveCTRL: Natural Language Controllable Driving Scene Editing with Multi-modal Agents,0,manual,
983,Robotics,Task-planning,http://arxiv.org/abs/2512.16909 ,MomaGraph: State-Aware Unified Scene Graphs with Vision-Language Model for Embodied Task Planning,0,manual,
982,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2512.16461 ,SNOW: Spatio-Temporal Scene Understanding with World Knowledge for Open-World Embodied Reasoning,0,manual,
981,Reasoning,Prediction,http://arxiv.org/abs/2512.15957 ,Seeing is Believing (and Predicting): Context-Aware Multi-Human Behavior Prediction with Vision Language Models,0,manual,
980,Robotics,Navigation,http://arxiv.org/abs/2512.15047 ,HERO: Hierarchical Traversable 3D Scene Graphs for Embodied Navigation Among Movable Obstacles,0,manual,
979,Others,Medical,http://arxiv.org/abs/2512.14092 ,ProtoFlow: Interpretable and Robust Surgical Workflow Modeling with Learned Dynamic Scene Graph Prototypes,0,manual,
978,Scene Graph,Synthesis,http://arxiv.org/abs/2512.13290 ,LINA: Learning INterventions Adaptively for Physical Alignment and Generalization in Diffusion Models,0,manual,
977,Robotics,Task-planning,http://arxiv.org/abs/2512.10342 ,CoSPlan: Corrective Sequential Planning via Scene Graph Incremental Updates,0,manual,
976,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2512.11903 ,Aion: Towards Hierarchical 4D Scene Graphs with Temporal Flow Dynamics,0,manual,
975,Reasoning,Grounding,http://arxiv.org/abs/2512.09215 ,View-on-Graph: Zero-shot 3D Visual Grounding via Vision-Language Reasoning on Scene Graphs,0,manual,
974,Scene Graph,Scene Graph Generation,http://arxiv.org/abs/2512.05524 ,VOST-SGG: VLM-Aided One-Stage Spatio-Temporal Scene Graph Generation,0,manual,
973,Robotics,Manipulation,http://arxiv.org/abs/2512.03913 ,Hierarchical Vision Language Action Model Using Success and Failure Demonstrations,0,manual,
972,Reasoning,Others,http://arxiv.org/abs/2512.03474 ,Procedural Mistake Detection via Action Effect Modeling,0,manual,
971,Scene Graph,Representation,http://arxiv.org/abs/2512.03422 ,What Is The Best 3D Scene Representation for Robotics? From Geometric to Foundation Models,0,manual,
970,Scene Graph,Synthesis,http://arxiv.org/abs/2512.01975 ,SGDiff: Scene Graph Guided Diffusion Model for Image Collaborative SegCaptioning,0,manual,10.1609/aaai.v39i10.33113
969,Scene Graph,Grounding,http://arxiv.org/abs/2512.00936 ,SceneProp: Combining Neural Network and Markov Random Field for Scene-Graph Grounding,0,manual,
968,Reasoning,Reasoning,http://arxiv.org/abs/2512.00565 ,Describe Anything Anywhere At Any Moment,0,manual,
967,Reasoning,Retrieval,http://arxiv.org/abs/2512.00294 ,Words into World: A Task-Adaptive Agent for Language-Guided Spatial Retrieval in AR,0,manual,
966,Reasoning,VQA,http://arxiv.org/abs/2511.23304 ,Multi-Modal Scene Graph with Kolmogorov-Arnold Experts for Audio-Visual Question Answering,0,manual,
965,Scene Graph,Dataset/Benchmark,http://arxiv.org/abs/2511.20937 ,ENACT: Evaluating Embodied Cognition with World Modeling of Egocentric Interaction,0,manual,
964,Reasoning,VQA,http://arxiv.org/abs/2511.20201 ,GHR-VQA: Graph-guided Hierarchical Relational Reasoning for Video Question Answering,0,manual,
963,Scene Graph,Dataset/Benchmark,http://arxiv.org/abs/2511.18817 ,Disc3D: Automatic Curation of High-Quality 3D Dialog Data via Discriminative Object Referring,0,manual,
962,Scene Graph,Synthesis,http://arxiv.org/abs/2511.18734 ,Yo'City: Personalized and Boundless 3D Realistic City Scene Generation via Self-Critic Expansion,0,manual,
961,Scene Graph,Synthesis,http://arxiv.org/abs/2511.18378 ,Synthetic Curriculum Reinforces Compositional Text-to-Image Generation,0,manual,
960,Scene Graph,Scene Graph Generation,http://arxiv.org/abs/2511.15948 ,Click2Graph: Interactive Panoptic Video Scene Graphs from a Single Click,0,manual,
959,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2511.15288 ,Edge-Centric Relational Reasoning for 3D Scene Graph Prediction,0,manual,
958,Scene Graph,Synthesis,http://arxiv.org/abs/2511.14884 ,GeoSceneGraph: Geometric Scene Graph Diffusion Model for Text-guided 3D Indoor Scene Synthesis,0,manual,
957,Others,Autonomous Driving,http://arxiv.org/abs/2511.14430 ,Abstract Scene Graphs: Formalizing and Monitoring Spatial Properties of Automated Driving Functions,0,manual,10.4204/eptcs.436.3
956,Reasoning,Retrieval,http://arxiv.org/abs/2511.14004 ,Searching in Space and Time: Unified Memory-Action Loops for Open-World Object Retrieval,0,manual,
955,Others,Other Applications,http://arxiv.org/abs/2511.13970 ,Scene Graph-Guided Generative AI Framework for Synthesizing and Evaluating Industrial Hazard Scenarios,0,manual,10.2139/ssrn.5818906
954,Others,Other Applications,http://arxiv.org/abs/2511.12676 ,BridgeEQA: Virtual Embodied Agents for Real Bridge Inspections,0,manual,
953,Others,Autonomous Driving,http://arxiv.org/abs/2511.11266 ,GraphPilot: Grounded Scene Graph Conditioning for Language-Based Autonomous Driving,0,manual,
952,Robotics,Navigation,http://arxiv.org/abs/2511.10376 ,MSGNav: Unleashing the Power of Multi-modal 3D Scene Graph for Zero-Shot Embodied Navigation,0,manual,
951,Scene Graph,Dynamic Scene Graph,http://arxiv.org/abs/2511.08651 ,RS-Net: Context-Aware Relation Scoring for Dynamic Scene Graph Generation,0,manual,
950,Reasoning,Scene Understanding,http://arxiv.org/abs/2511.07813 ,Sparse3DPR: Training-Free 3D Hierarchical Scene Parsing and Task-Adaptive Subgraph Reasoning from Sparse RGB Views,0,manual,
949,Reasoning,Reasoning,http://arxiv.org/abs/2511.07403 ,SpatialThinker: Reinforcing 3D Reasoning in Multimodal LLMs via Spatial Rewards,0,manual,
948,Scene Graph,Scene Graph Generation,http://arxiv.org/abs/2511.05935 ,Interaction-Centric Knowledge Infusion and Transfer for Open-Vocabulary Scene Graph Generation,0,manual,
947,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2511.05894 ,Open-World 3D Scene Graph Generation for Retrieval-Augmented Reasoning,0,manual,
946,Robotics,Manipulation,http://arxiv.org/abs/2511.04357 ,GraSP-VLA: Graph-based Symbolic Action Representation for Long-Horizon Planning with VLA Policies,0,manual,
945,Others,Not Related,http://arxiv.org/abs/2511.08609 ,Case Study: Transformer-Based Solution for the Automatic Digitization of Gas Plants,0,manual,
944,Others,Other Applications,http://arxiv.org/abs/2511.03819 ,SILVI: Simple Interface for Labeling Video Interactions,0,manual,
943,Robotics,Manipulation,http://arxiv.org/abs/2510.27558 ,Toward Accurate Long-Horizon Robotic Manipulation: Language-to-Action with Foundation Models via Scene Graphs,0,manual,
942,Scene Graph,Synthesis,http://arxiv.org/abs/2511.00107 ,AI Powered High Quality Text to Video Generation with Enhanced Temporal Consistency,0,manual,
941,Robotics,Robotic Perception,http://arxiv.org/abs/2510.27033 ,A Multi-Modal Neuro-Symbolic Approach for Spatial Reasoning-Based Visual Grounding in Robotics,0,manual,
940,Others,Other Applications,http://arxiv.org/abs/2510.23190 ,Evaluation of Vision-LLMs in Surveillance Video,0,manual,
939,Others,Weakly Related,http://arxiv.org/abs/2510.22897 ,Charting the Design Space of Neural Graph Representations for Subgraph Matching,0,manual,
938,Others,Weakly Related,http://arxiv.org/abs/2510.22538 ,Iteratively Refined Early Interaction Alignment for Subgraph Matching based Graph Retrieval,0,manual,
937,Others,Other Applications,http://arxiv.org/abs/2510.22204 ,Human-Inspired Neuro-Symbolic World Modeling and Logic Reasoning for Interpretable Safe UAV Landing Site Assessment,0,manual,
936,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2510.21069 ,ZING-3D: Zero-shot Incremental 3D Scene Graphs via Vision-Language Models,0,manual,
935,Reasoning,Captioning,http://arxiv.org/abs/2510.19060 ,PoSh: Using Scene Graphs To Guide LLMs-as-a-Judge For Detailed Image Descriptions,0,manual,
934,Scene Graph,Dynamic Scene Graph,http://arxiv.org/abs/2510.18697 ,Event-Grounding Graph: Unified Spatio-Temporal Scene Graph from Robotic Observations,0,manual,
933,Others,Weakly Related,http://arxiv.org/abs/2510.17363 ,M2H: Multi-Task Learning with Efficient Window-Based Cross-Task Attention for Monocular Spatial Perception,0,manual,
932,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2510.16643 ,Structured Interfaces for Automated Reasoning with 3D Scene Graphs,0,manual,
931,Scene Graph,Synthesis,http://arxiv.org/abs/2510.15564 ,Imaginarium: Vision-guided High-Quality 3D Scene Layout Generation,0,manual,10.1145/3763353
930,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2510.15319 ,Traversability-aware Consistent Situational Graphs for Indoor Localization and Mapping,0,manual,
929,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2510.12101 ,Gaussian Semantic Field for One-shot LiDAR Global Localization,0,manual,
928,Robotics,Robotic Perception,http://arxiv.org/abs/2510.10778 ,Real2USD: Scene Representations in Universal Scene Description Language,0,manual,
927,Robotics,General,http://arxiv.org/abs/2510.15963 ,ESCA: Contextualizing Embodied Agents via Scene-Graph Generation,0,manual,
926,Reasoning,Grounding,http://arxiv.org/abs/2510.10194 ,B2N3D: Progressive Learning from Binary to N-ary Relationships for 3D Object Grounding,0,manual,
925,Scene Graph,Dynamic Scene Graph,http://arxiv.org/abs/2510.09483 ,"FOGMACHINE -- Leveraging Discrete-Event Simulation and Scene Graphs for Modeling Hierarchical, Interconnected Environments under Partial Observations from Mobile Agents",0,manual,
924,Others,Weakly Related,http://arxiv.org/abs/2510.08512 ,Have We Scene It All? Scene Graph-Aware Deep Point Cloud Compression,0,manual,
923,Others,Weakly Related,http://arxiv.org/abs/2510.07053 ,Introspection in Learned Semantic Scene Graph Localisation,0,manual,
922,Robotics,Manipulation,http://arxiv.org/abs/2510.21744 ,FORGE-Tree: Diffusion-Forcing Tree Search for Long-Horizon Robot Manipulation,0,manual,
921,Scene Graph,Synthesis,http://arxiv.org/abs/2510.05742 ,Vipera: Blending Visual and LLM-Driven Guidance for Systematic Auditing of Text-to-Image Generative AI,0,manual,
920,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2510.05560 ,HoloScene: Simulation-Ready Interactive 3D Worlds from a Single Video,0,manual,
919,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2510.05430 ,Active Semantic Perception,0,manual,
918,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2510.04714 ,Object-Centric Representation Learning for Enhanced 3D Scene Graph Prediction,0,manual,
917,Others,Weakly Related,http://arxiv.org/abs/2510.03727 ,Bridging the Gap Between Multimodal Foundation Models and World Models,0,manual,
916,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2510.01049 ,KeySG: Hierarchical Keyframe-Based 3D Scene Graphs,0,manual,
915,Reasoning,Others,http://arxiv.org/abs/2509.26457 ,Attention over Scene Graphs: Indoor Scene Representations Toward CSAI Classification,0,manual,
914,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2509.24966 ,Social 3D Scene Graphs: Modeling Human Actions and Relations for Interactive Service Robots,0,manual,
913,Robotics,Navigation,http://arxiv.org/abs/2509.23563 ,RAVEN: Resilient Aerial Navigation via Open-Set Semantic Memory and Behavior Adaptation,0,manual,
912,Robotics,Manipulation,http://arxiv.org/abs/2509.23107 ,Open-Vocabulary Spatio-Temporal Scene Graph for Robot Perception and Teleoperation Planning,0,manual,
911,Scene Graph,Dataset/Benchmark,http://arxiv.org/abs/2509.22281 ,MesaTask: Towards Task-Driven Tabletop Scene Generation via 3D Spatial Reasoning,0,manual,
910,Others,Medical,http://arxiv.org/abs/2509.22014 ,Lightweight Structured Multimodal Reasoning for Clinical Scene Understanding in Robotics,0,manual,
909,Robotics,Manipulation,http://arxiv.org/abs/2509.21928 ,SAGE: Scene Graph-Aware Guidance and Execution for Long-Horizon Manipulation Tasks,0,manual,
908,Scene Graph,Dynamic Scene Graph,http://arxiv.org/abs/2509.21783 ,Prompt-guided Disentangled Representation for Action Recognition,0,manual,
907,Robotics,Task-planning,http://arxiv.org/abs/2509.21576 ,"Vision Language Models Cannot Plan, but Can They Formalize?",0,manual,
906,Others,Medical,http://arxiv.org/abs/2509.20941 ,Decoding the Surgical Scene: A Scoping Review of Scene Graphs in Surgery,0,manual,
905,Scene Graph,Synthesis,http://arxiv.org/abs/2509.22720 ,LayoutAgent: A Vision-Language Agent Guided Compositional Diffusion for Spatial Layout Planning,0,manual,
904,Robotics,Task-planning,http://arxiv.org/abs/2509.20077 ,Queryable 3D Scene Representation: A Multi-Modal Framework for Semantic Reasoning and Robotic Task Planning,0,manual,10.1145/3746027.3758177
903,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2509.20401 ,SGAligner++: Cross-Modal Language-Aided 3D Scene Graph Alignment,0,manual,
902,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2509.19579 ,Terra: Hierarchical Terrain-Aware 3D Scene Graph for Task-Agnostic Outdoor Mapping,0,manual,
901,Robotics,Navigation,http://arxiv.org/abs/2509.18592 ,VLN-Zero: Rapid Exploration and Cache-Enabled Neurosymbolic Vision-Language Planning for Zero-Shot Transfer in Robot Navigation,0,manual,
900,Scene Graph,Representation,http://arxiv.org/abs/2509.16336 ,Neural Atlas Graphs for Dynamic Scene Decomposition and Editing,0,manual,
899,Robotics,Manipulation,http://arxiv.org/abs/2509.16053 ,Compose by Focus: Scene Graph-based Atomic Skills,0,manual,
898,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2509.14949 ,Human Interaction for Collaborative Semantic SLAM using Extended Reality,0,manual,
897,Robotics,Navigation,http://arxiv.org/abs/2509.13733 ,FSR-VLN: Fast and Slow Reasoning for Vision-Language Navigation with Hierarchical Multi-modal Scene Graph,0,ai_generated,
896,Scene Graph,Scene Graph Generation,http://arxiv.org/abs/2509.12901 ,MSGFusion: Multimodal Scene Graph-Guided Infrared and Visible Image Fusion,0,ai_generated,
895,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2509.11959 ,Learning to Generate 4D LiDAR Sequences,0,ai_generated,
894,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2509.11895 ,Integrating Prior Observations for Incremental 3D Scene Graph Prediction,0,ai_generated,
893,Reasoning,VQA,http://arxiv.org/abs/2509.11862 ,Bridging Vision Language Models and Symbolic Grounding for Video Question Answering,0,ai_generated,
892,Scene Graph,Dynamic Scene Graph,http://arxiv.org/abs/2509.11796 ,FineQuest: Adaptive Knowledge-Assisted Sports Video Understanding via Agent-of-Thoughts Reasoning,0,ai_generated,
891,Scene Graph,Scene Graph Generation,http://arxiv.org/abs/2509.09658 ,Measuring Epistemic Humility in Multimodal Large Language Models,0,ai_generated,
890,Robotics,Navigation,http://arxiv.org/abs/2509.09594 ,ObjectReact: Learning Object-Relative Control for Visual Navigation,0,ai_generated,
889,Robotics,Manipulation,http://arxiv.org/abs/2509.07957 ,Graph-Fused Vision-Language-Action for Policy Reasoning in Multi-Arm Robotic Manipulation,0,ai_generated,
888,Scene Graph,Dynamic Scene Graph,http://arxiv.org/abs/2509.06165 ,UNO: Unifying One-stage Video Scene Graph Generation via Object-Centric Visual Representation Learning,0,ai_generated,
887,Scene Graph,Scene Graph Generation,http://arxiv.org/abs/2509.05661 ,Language-Driven Object-Oriented Two-Stage Method for Scene Graph Anticipation,0,ai_generated,
886,Scene Graph,Scene Graph Generation,http://arxiv.org/abs/2509.03516 ,"Easier Painting Than Thinking: Can Text-to-Image Models Set the Stage, but Not Direct the Play?",0,ai_generated,
885,Scene Graph,Scene Graph Generation,http://arxiv.org/abs/2509.01209 ,Measuring Image-Relation Alignment: Reference-Free Evaluation of VLMs and Synthetic Pre-training for Open-Vocabulary Scene Graph Generation,0,ai_generated,
884,Scene Graph,Dynamic Scene Graph,http://arxiv.org/abs/2508.15258 ,Spatio-Temporal Mixed and Augmented Reality Experience Description for Interactive Playback,0,ai_generated,
883,Scene Graph,Scene Graph Generation,http://arxiv.org/abs/2508.14502 ,SATURN: Autoregressive Image Generation Guided by Scene Graphs,0,ai_generated,10.1109/mapr67746.2025.11133881
882,Robotics,Robotic Perception,http://arxiv.org/abs/2508.12916 ,RoboRetriever: Single-Camera Robot Object Retrieval via Active and Interactive Perception with Dynamic Scene Graph,0,ai_generated,
881,Robotics,Robotic Perception,http://arxiv.org/abs/2508.11286 ,Scene Graph-Guided Proactive Replanning for Failure-Resilient Embodied Agent,-1,ai_generated,
880,Reasoning,VQA,http://arxiv.org/abs/2508.07023 ,MV-CoRe: Multimodal Visual-Conceptual Reasoning for Complex Visual Question Answering,0,ai_generated,
879,Robotics,Navigation,http://arxiv.org/abs/2508.06990 ,Imaginative World Modeling with Scene Graphs for Embodied Agent Navigation,0,ai_generated,
878,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2508.06283 ,Situationally-aware Path Planning Exploiting 3D Scene Graphs,0,ai_generated,
877,Scene Graph,Scene Graph Generation,http://arxiv.org/abs/2508.06125 ,SC-Captioner: Improving Image Captioning with Self-Correction by Reinforcement Learning,0,ai_generated,
876,Robotics,Robotic Perception,http://arxiv.org/abs/2508.05342 ,Information-Theoretic Graph Fusion with Vision-Language-Action Model for Policy Reasoning and Dual Robotic Control,0,ai_generated,
875,Scene Graph,Dynamic Scene Graph,http://arxiv.org/abs/2508.04943 ,TRKT: Weakly Supervised Dynamic Scene Graph Generation with Temporal-enhanced Relation-aware Knowledge Transferring,0,ai_generated,
874,Robotics,Navigation,http://arxiv.org/abs/2508.04678 ,Open Scene Graphs for Open-World Object-Goal Navigation,0,ai_generated,10.1177/02783649251369549
873,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2508.06546 ,Statistical Confidence Rescoring for Robust 3D Scene Graph Generation from Multi-View Images,0,ai_generated,
872,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2508.03692 ,LiDARCrafter: Dynamic 4D World Modeling from LiDAR Sequences,0,ai_generated,
871,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2508.03691 ,La La LiDAR: Large-Scale Layout Generation from LiDAR Data,0,ai_generated,
870,Scene Graph,Dynamic Scene Graph,http://arxiv.org/abs/2507.21893 ,Aether Weaver: Multimodal Affective Narrative Co-Generation with Dynamic Scene Graphs,0,ai_generated,
869,Scene Graph,Scene Graph Generation,http://arxiv.org/abs/2507.20804 ,MMGraphRAG: Bridging Vision and Language with Interpretable Multimodal Knowledge Graphs,0,ai_generated,
868,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2507.19993 ,FROSS: Faster-than-Real-Time Online 3D Semantic Scene Graph Generation from RGB-D Images,0,ai_generated,
867,Scene Graph,Scene Graph Generation,http://arxiv.org/abs/2507.18562 ,GIIFT: Graph-guided Inductive Image-free Multimodal Machine Translation,0,ai_generated,
866,Scene Graph,Scene Graph Generation,http://arxiv.org/abs/2507.15782 ,Interleaved LLM and Motion Planning for Generalized Multi-Object Collection in Large Scene Graphs,-1,ai_generated,
865,Others,Medical,http://arxiv.org/abs/2507.15541 ,Towards Holistic Surgical Scene Graph,0,ai_generated,
864,Scene Graph,Scene Graph Generation,http://arxiv.org/abs/2507.12846 ,Enter the Mind Palace: Reasoning and Planning for Long-term Active Embodied Question Answering,0,ai_generated,
863,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2507.12123 ,Open-Vocabulary Indoor Object Grounding with 3D Hierarchical Scene Graph,0,ai_generated,10.3103/s1060992x25600673
